SiteID,BrandID,BrandName,PetrolStationName,Address,Postcode,Lat,Lng,FuelId,FuelName,Price,TransactionDateUtc,collection_datetime,collection_date
61501237,111,Coles Express,Coles Express Noarlunga,Beach Rd & Hannah Rd,5168,-35.138151,138.497447,4,LPG,1039.0,2022-12-07T22:16:12.75,2022-12-08 14:00:05.787271,2022-12-08
61501243,169,On the Run,OTR Glenside,282 Greenhill Rd & Conyngham St,5065,-34.939699,138.633952,4,LPG,999.0,2022-12-08T02:49:00,2022-12-08 14:00:05.787271,2022-12-08
61501263,3421028,X Convenience,X Convenience Og Rd,25 Og Rd,5087,-34.878463,138.634697,4,LPG,895.0,2022-12-05T14:02:12.587,2022-12-08 14:00:05.787271,2022-12-08
61501271,169,On the Run,OTR Wayville,51 Goodwood Rd & Le Hunte St,5034,-34.946642,138.589451,4,LPG,959.0,2022-12-08T02:49:00,2022-12-08 14:00:05.787271,2022-12-08
61501278,169,On the Run,OTR Glen Osmond,411 Glen Osmond Rd,5064,-34.962802,138.643957,4,LPG,949.0,2022-12-08T02:49:00,2022-12-08 14:00:05.787271,2022-12-08
61501282,169,On the Run,OTR Evandale,89 Portrush Rd,5069,-34.904259,138.639369,4,LPG,999.0,2022-12-08T02:50:00,2022-12-08 14:00:05.787271,2022-12-08
61501285,169,On the Run,OTR Plympton,279 Anzac Hwy & Marion Rd,5038,-34.963319,138.555349,4,LPG,899.0,2022-12-08T02:48:00,2022-12-08 14:00:05.787271,2022-12-08
61501291,23,United,United Adelaide Airport,Sir Richard Williams Av,5000,-34.934591,138.540011,4,LPG,849.0,2022-12-08T01:58:46.04,2022-12-08 14:00:05.787271,2022-12-08
61501296,23,United,United Seaton,171 Tapleys Hill Rd & Morley Rd,5023,-34.882187,138.513093,4,LPG,959.0,2022-12-08T01:58:43.93,2022-12-08 14:00:05.787271,2022-12-08
61501319,3421073,EG Ampol,EG Ampol Eden Hills,272 Shepherds Hill Rd & Northcote Rd,5050,-35.026568,138.603945,4,LPG,999.0,2022-12-08T02:45:00,2022-12-08 14:00:05.787271,2022-12-08
61501322,169,On the Run,OTR Blackwood,203 Main Rd,5051,-35.016957,138.616736,4,LPG,999.0,2022-12-08T02:50:00,2022-12-08 14:00:05.787271,2022-12-08
61501325,169,On the Run,OTR Belair,1 Main St,5052,-34.998412,138.623384,4,LPG,959.0,2022-12-08T02:49:00,2022-12-08 14:00:05.787271,2022-12-08
