FuelCode,Price,IsAvailable,FuelOutletIdentifier,OutletName,Address,Postcode,Suburb,FuelBrandIdentifier,Longitude,Latitude,BrandIdentifier,BrandName,collection_datetime,collection_date
LAF,182.90,True,08390034,COLES EXPRESS COOLALINGA,425 STUART HWY,0839,COOLALINGA,SH,131.040981,-12.520863,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
P95,199.90,True,08390034,COLES EXPRESS COOLALINGA,425 STUART HWY,0839,COOLALINGA,SH,131.040981,-12.520863,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
U91,182.90,True,08390034,COLES EXPRESS COOLALINGA,425 STUART HWY,0839,COOLALINGA,SH,131.040981,-12.520863,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
DL,209.90,True,08700035,COLES EXPRESS ALICE SPRINGS GAP RD,2 BAGOT ST (CNR GAP RD),0870,ALICE SPRINGS,SH,133.878905,-23.707372,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
LAF,201.90,True,08700035,COLES EXPRESS ALICE SPRINGS GAP RD,2 BAGOT ST (CNR GAP RD),0870,ALICE SPRINGS,SH,133.878905,-23.707372,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
P95,218.90,True,08700035,COLES EXPRESS ALICE SPRINGS GAP RD,2 BAGOT ST (CNR GAP RD),0870,ALICE SPRINGS,SH,133.878905,-23.707372,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
U91,201.90,True,08700035,COLES EXPRESS ALICE SPRINGS GAP RD,2 BAGOT ST (CNR GAP RD),0870,ALICE SPRINGS,SH,133.878905,-23.707372,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
DL,207.90,True,08700036,COLES EXPRESS ALICE SPRINGS MT GILLEN,6 LARAPINTA DRIVE,0870,ALICE SPRINGS,SH,133.871468,-23.701117,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
LAF,201.90,True,08700036,COLES EXPRESS ALICE SPRINGS MT GILLEN,6 LARAPINTA DRIVE,0870,ALICE SPRINGS,SH,133.871468,-23.701117,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
P95,218.90,True,08700036,COLES EXPRESS ALICE SPRINGS MT GILLEN,6 LARAPINTA DRIVE,0870,ALICE SPRINGS,SH,133.871468,-23.701117,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
U91,201.90,True,08700036,COLES EXPRESS ALICE SPRINGS MT GILLEN,6 LARAPINTA DRIVE,0870,ALICE SPRINGS,SH,133.871468,-23.701117,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
DL,194.90,True,08700037,COLES EXPRESS ALICE SPRINGS TRUCK STOP,Cnr DALGETY RD & LILBILI ST,0870,ALICE SPRINGS,SH,133.864878,-23.66775,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
LAF,200.90,True,08700037,COLES EXPRESS ALICE SPRINGS TRUCK STOP,Cnr DALGETY RD & LILBILI ST,0870,ALICE SPRINGS,SH,133.864878,-23.66775,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
P95,217.90,True,08700037,COLES EXPRESS ALICE SPRINGS TRUCK STOP,Cnr DALGETY RD & LILBILI ST,0870,ALICE SPRINGS,SH,133.864878,-23.66775,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
