address,long,lat
"2 Guava Way, HALLS HEAD , Western Australia",115.7004211,-32.5488967
"1520 Gnangara Road, HENLEY BROOK , Western Australia",115.9938975,-31.7956781
"68 Warton Road, HUNTINGDALE , Western Australia",115.9633666,-32.0735922
"2 Abello Bvd, JINDALEE , Western Australia",115.6898875,-31.636748
"110 Bashford Street, JURIEN BAY , Western Australia",115.04053282537336,-30.30362565
"248 Celebration Road, YILKARI , Western Australia",,
"Lot 35 Goldfields Highway, KAMBALDA EAST , Western Australia",121.6505074,-31.1967682
"88 Gilbertson Road, KARDINYA , Western Australia",115.8194143,-32.0647812
"1033 Mardie Road, KARRATHA INDUSTRIAL ESTATE , Western Australia",116.8612558,-20.7769247
"30 Balmoral Road, KARRATHA , Western Australia",116.8424468,-20.7357365
"Lot 9 Resource Road, GAP RIDGE , Western Australia",116.7671317,-20.7403093
"2907 Albany Highway, KELMSCOTT , Western Australia",116.0122621,-32.1033164
"48 Courtney Pl, WATTLE GROVE , Western Australia",115.9833414,-32.0074443
"549 Abernethy Road, KEWDALE , Western Australia",115.9390044,-31.9646949
"28 Koondoola Ave, KOONDOOLA , Western Australia",115.8628189,-31.8412849
"Cnr Stockman Road & Bull Run Road, KUNUNURRA , Western Australia",,
"230-234 Nicholson Road, LANGFORD , Western Australia",115.9316338,-32.0539872
"269 Kalamunda Road, MAIDA VALE , Western Australia",116.0195402,-31.9450842
"304 Pinjarra Road, MANDURAH , Western Australia",115.7166428,-32.5351937
"96 Giblett Street, MANJIMUP , Western Australia",116.1461786,-34.2417467
"73 Manning Road, MANNING , Western Australia",115.8764208,-32.012216
"360 Anchorage Drive North, MINDARIE , Western Australia",115.7094637,-31.677264
"153 Gardiner Street, MOORA , Western Australia",116.0087593,-30.6367173
"335 Walter Road West, MORLEY , Western Australia",115.8944065,-31.8961967
"25 Mitchell Road, MOUNT BARKER , Western Australia",117.517146,-34.5990594
"101 Dampier Av, MULLALOO , Western Australia",115.7420028,-31.7722736
"16 Tubada Street, MUNGLINUP , Western Australia",120.8611479,-33.7049514
"37 Federal Street, NARROGIN , Western Australia",117.1785538,-32.9410521
"1351 Rockingham Road, NAVAL BASE , Western Australia",115.782755,-32.1939102
"101 Great Northern Highway, NEWMAN , Western Australia",119.7725215,-23.3703587
"386 Scarborough Beach Road, INNALOO , Western Australia",115.7934324,-31.9006791
"Lot 2 Eyre Highway, NORSEMAN , Western Australia",121.7905254,-32.1770535
"85 Forrest Ave, SOUTH BUNBURY , Western Australia",115.6404594,-33.3363014
"84 Brockman Street, PEMBERTON , Western Australia",116.0323328,-34.4461606
"Lot 202 Wimbridge Road, PICTON , Western Australia",115.6966007,-33.3464223
"24 Wetherly Drive, PICTON , Western Australia",115.7081901,-33.3452063
"90 Anderson Street, PORT HEDLAND , Western Australia",118.5767464,-20.3130781
"46 Bakewell Drive, PORT KENNEDY , Western Australia",115.7592823,-32.3631297
"47 Morgans Street, RAVENSTHORPE , Western Australia",120.032641,-33.5824254
"419 Great Eastern Highway, REDCLIFFE , Western Australia",115.9559966,-31.9223051
"43 Hampton Street, BRIDGETOWN , Western Australia",116.1344196,-33.9667861
"30373 Brand Highway, DONGARA , Western Australia",114.9603806,-29.2525459
"18a South Western Highway, HARVEY , Western Australia",115.9099299,-32.9482273
"129 Stirling Highway, NEDLANDS , Western Australia",115.79826042416286,-31.9797524
"10895 Great Eastern Highway, SAWYERS VALLEY , Western Australia",116.2612106,-31.8851657
"188 Spencer Street, SOUTH BUNBURY , Western Australia",115.641149,-33.3451822
"2 Throssell Road, SOUTH HEDLAND , Western Australia",118.6011956,-20.409017
"30 Angove Road, SPENCER PARK , Western Australia",117.8922058,-35.0070223
"13724 Great Eastern Highway, THE LAKES , Western Australia",116.3171535,-31.8793921
"430 Safety Bay Road, SAFETY BAY , Western Australia",115.7114156,-32.3038391
"Cnr Pinga Street & Anthill Street, WEDGEFIELD , Western Australia",,
"1 Ballantyne Road, KEWDALE , Western Australia",115.9396976,-31.9829686
"11 Wilurarra Road, WEST KALGOORLIE , Western Australia",121.4332822,-30.7846126
"85 Queen Victoria Street, FREMANTLE , Western Australia",115.7520221,-32.0465792
"16 Albany Highway, WILLIAMS , Western Australia",116.8859415,-33.0389233
"190 North West Coastal Highway, WEBBERTON , Western Australia",114.6252057,-28.7589299
"380 Great Eastern Highway, WOODBRIDGE , Western Australia",115.9873385,-31.8922428
"80-82 Great Northern Highway, WUBIN , Western Australia",116.6803837,-30.0689686
"46458 South Coast Highway, KING RIVER , Western Australia",117.9156858,-34.9291721
"12 Bridgetown Road, BALINGUP , Western Australia",,
"64 Blackwood Ave, AUGUSTA , Western Australia",115.158152,-34.3088422
"177-179 Great Eastern Highway, BELLEVUE , Western Australia",116.0197492,-31.8929217
"25 Preston Street, COMO , Western Australia",115.8622883,-31.9937776
"21 Edgewater Drive, EDGEWATER , Western Australia",115.7897236,-31.7718296
"12440 Bussell Highway, KARRIDALE , Western Australia",115.09886034503776,-34.20211975
