address,ADDRESS,latitude,longitude
,701 Beeliar Drive,115.80852881256561,-32.12898730013087
,261 Eddystone Ave,-79.51741818746844,43.74823517949367
,2 Wellard Street,147.8533199577981,-43.138701172477056
,2 Coghlan Street,-74.20174724708993,39.61381623809524
,83 Wheatley Drive,-73.30654984464287,42.34462012678573
,26 Albert Street,0.8977057618407976,51.89577297995022
,13 Bannister Road,-71.16204678884894,42.633535706474795
,1134 North West Coastal Highway,113.707976675,-24.861904521875
,40 Bennett Street,151.08252335152397,-33.80918375529754
,28K Caloundra Road,153.10134369417042,-26.79149427847533
,138 Loch Street,-79.37369149748746,39.39610405829146
,210 Great Eastern Highway,116.73663185,-31.635708299999997
,2 Prendiville Ave,115.73838940717532,-31.75365184123005
,44 Archer Street,138.5989613346226,-34.90669821074279
,2 Sunlander Drive,115.7462004234063,-31.72609629098364
,68-70 Brown Street,-75.40877745051549,38.910723681443294
,190 Karrinyup Road,115.76702953708136,-31.873906600956925
,4 Chisham Ave,115.82141023083616,-32.244735740940776
,218 Main Street,-5.353108834268383,36.1411100084913
,2 Ridgewood Bvd,-81.09990827475009,40.732870423000016
,246 Leach Highway,115.93190018326442,-31.986298939876054
,349 Charles Street,-73.20030552664711,41.19440684245973
,2 Warburton Ave,-71.47825778399998,41.56837618342858
,214 Warnbro Sound Ave,115.76148151833988,-32.39773818629342
,222 Rockingham Road,-79.87373729045444,40.49691515852272
,339 High Road,115.90284370528352,-32.03982537435898
,2 Chalgrove Ave,-0.19966713718140908,51.39519435887052
,9 Mends Street,-13.234924448341236,8.477187256714066
,810 Beeliar Drive,115.80852881256561,-32.12898730013087
,261 Walter Road West,-78.625148175,34.8381631
,240 Cambridge Street,-76.12296500937819,43.04213786146792
,11 Scarborough Beach Road,115.78895160604033,-31.89843313342278
,1 Roy Earl Drive,115.10433517769785,-33.8529451352518
,7 Welshpool Road East,115.98909355562493,-32.00330649875
,Lot 6 Great Eastern Highway,116.73663185,-31.635708299999997
,44A South Coast Highway,34.26342275263158,44.529890693421045
,19 Rodgers Street,-122.87666707217387,47.82249720521739
,4 Wanneroo Road,115.82621398749991,-31.860179610461934
,15 South Western Highway,115.90540695384617,-32.936267123076924
,238 Naturaliste Tce,115.10549743235285,-33.616265092810494
,137 Dixon Road,-3.6987798599524253,55.86121808699452
,2 The Gateway,-73.51797777999998,42.694163780000004
,484 Walter Road East,115.92231249584208,-31.893884720997942
,2 Alex Wood Drive,115.96966202635376,-32.14327307256318
,155 Hale Road,0.554557863436929,51.37921578098724
,Lot 1662 Shenton Street,,
,438 Hannan Street,121.45589625431475,-30.764348633502546
,19 Coolibah Drive,139.30276436166665,-35.11180887666667
,2 Guava Way,-77.33298827431196,18.457919734862383
,1520 Gnangara Road,115.97890114295447,-31.792167724090913
,68 Warton Road,-71.46851008284789,42.725203857605194
,2 Abello Bvd,115.69220957401681,-31.63607052956252
,110 Bashford Street,115.04022041190474,-30.303068237698415
,248 Celebration Road,-77.3425487347826,39.96302361739131
,Lot 35 Goldfields Highway,,
,88 Gilbertson Road,-122.513200870229,48.21588335038171
,1033 Mardie Road,116.86133946521736,-20.77103351304348
,30 Balmoral Road,174.32704213636362,-35.68103268000001
,Lot 9 Resource Road,-97.5652249490515,30.490796622222224
,2907 Albany Highway,-123.1362050255474,44.64610498394159
,48 Courtney Pl,-71.32334606603776,41.96114056100631
,549 Abernethy Road,-122.5978431115943,45.3622760001932
,28 Koondoola Ave,115.8605154439824,-31.84280449540478
,Cnr Stockman Road & Bull Run Road,,
,230-234 Nicholson Road,115.81136660414298,-31.95493811452892
,269 Kalamunda Road,115.97434456146789,-31.913058820183508
,304 Pinjarra Road,115.72271273588454,-32.53180757402758
,96 Giblett Street,115.97922979354841,-32.363913266129025
,73 Manning Road,,
,360 Anchorage Drive North,-80.05943365368216,26.808822814220424
,153 Gardiner Street,-68.44627539583331,46.00150512361111
,335 Walter Road West,-76.85325325535713,40.94077759107142
,25 Mitchell Road,-72.51018260948766,41.79965254421254
,101 Dampier Av,150.7457309381074,-33.74078103938621
,16 Tubada Street,120.86163928222226,-33.705956186666675
,37 Federal Street,-71.23727577861438,42.15962028433735
,1351 Rockingham Road,-72.50997471176473,43.20165791764709
,101 Great Northern Highway,118.6360657917526,-20.38002457835052
,386 Scarborough Beach Road,115.78895160604033,-31.89843313342278
,Lot 2 Eyre Highway,137.75459980309734,-32.47944958097346
,85 Forrest Ave,-72.86891153105933,40.804606500718144
,84 Brockman Street,115.99868909076922,-31.800384681538464
,Lot 202 Wimbridge Road,115.98733492593107,-31.998729189103475
,24 Wetherly Drive,-77.93783488876402,35.76567817668538
,90 Anderson Street,144.98556535829752,-37.83175231166916
,46 Bakewell Drive,-1.172676066626844,53.00417668438871
,47 Morgans Street,115.83282951448416,-31.902032365872987
,419 Great Eastern Highway,116.73663185,-31.635708299999997
,43 Hampton Street,-72.29338375469445,40.99745380596125
,30373 Brand Highway,115.50275094285715,-30.396224842857148
,18a South Western Highway,115.90540695384617,-32.936267123076924
,129 Stirling Highway,115.79753691508708,-31.978803880851068
,10895 Great Eastern Highway,116.73663185,-31.635708299999997
,188 Spencer Street,-81.54074450349647,43.61961065314683
,2 Throssell Road,118.6018925542858,-20.40913299824177
,30 Angove Road,138.5173541682714,-34.994663266520796
,13724 Great Eastern Highway,116.73663185,-31.635708299999997
,430 Safety Bay Road,115.79454634078947,-32.32917635921054
,Cnr Pinga Street & Anthill Street,,
,1 Ballantyne Road,-3.1784124906879985,55.97377202444803
,11 Wilurarra Road,121.4355924,-30.78264003703705
,85 Queen Victoria Street,-0.09517980586406957,51.5125313794861
,16 Albany Highway,-73.70105998354245,42.73889347196653
,190 North West Coastal Highway,114.62301666021321,-28.761891460746014
,380 Great Eastern Highway,116.73663185,-31.635708299999997
,80-82 Great Northern Highway,118.6360657917526,-20.38002457835052
,46458 South Coast Highway,34.26342275263158,44.529890693421045
,12 Bridgetown Road,-71.43969912477478,41.491092152252236
,64 Blackwood Ave,153.08029258857133,-27.47275571662343
,177-179 Great Eastern Highway,116.73663185,-31.635708299999997
,25 Preston Street,168.35017917605978,-46.38691311958766
,21 Edgewater Drive,-80.25645314338749,25.70758716914153
,12440 Bussell Highway,115.10233507916666,-34.19816105416666
,3 Carson Road,-2.1906695921604946,53.441996712962904
,211 Bussell Highway,115.07701666767684,-33.958693369899
,Cnr Rockingham Road & Lee Road,,
,177 O'Connor Road,-77.4590021178187,43.1027047883256
,150 Wanneroo Road,115.82621398749991,-31.860179610461934
,21 Coronation Drive,0.9070158250936327,51.40165372097378
,8B South Western Highway,115.90540695384617,-32.936267123076924
,3 Bandicoot Drive,-88.69730791736329,41.331836037299034
,634 Menang Drive,117.85511801428572,-34.96814321428571
,5 Cocos Drive,-81.68851881337794,28.871701115050172
,1 Spencer Street,-1.48387570810651,53.54834722863913
,124 Throssell Street,149.07983046761066,-35.324351631157676
,4267 South Western Highway (Cnr Del Park Road),,
,2 Cunningham Road (Cnr Great Eastern Highway),,
,1540 Anderson Road,-121.75789563732877,38.55813808698633
,Cnr Mandurah Road & Wellard Road,,
,76 Malaga Drive (Cnr Truganina Road),,
,54 Wetherell Street,-71.21570097045294,42.311904852336404
,12 Clayton Road,176.23062310465104,-38.12402149360466
,131 Welsh Drive (Cnr Pardoo Drive),,
,204 North Road,-1.5500557485893445,54.54018167061123
,1 Wimbridge Road,115.98733492593107,-31.998729189103475
,1 Princep Street,115.38285791348319,-33.6376909960674
,Cnr North Mole Drive & Rous Head Road,,
,159 Altone Road (Cnr Hull Way),,
,918 Canning Highway (Cnr Kintail Road),,
,50 Mavis Road,-76.82785267500002,35.02899237083333
,1 Forrest Ave,151.1170307929937,-33.70139149490445
