stationcode,brand,name,address,lat,long,fueltype,fueltype_long,price,collection_datetime,collection_date
19,BP,BP Ulverstone,"58 Main Street, Ulverstone TAS 7315",-41.1575246,146.1775819,P95,Premium 95,213.9,2022-11-23 14:00:11.020981,2022-11-23
19,BP,BP Ulverstone,"58 Main Street, Ulverstone TAS 7315",-41.1575246,146.1775819,P98,Premium 98,220.9,2022-11-23 14:00:11.020981,2022-11-23
19,BP,BP Ulverstone,"58 Main Street, Ulverstone TAS 7315",-41.1575246,146.1775819,PDL,Premium Diesel,247.9,2022-11-23 14:00:11.020981,2022-11-23
19,BP,BP Ulverstone,"58 Main Street, Ulverstone TAS 7315",-41.1575246,146.1775819,U91,Unleaded 91,197.9,2022-11-23 14:00:11.020981,2022-11-23
20,Ampol,Ampol Hill Street Lauderdale,"528 South Arm Highway, Lauderdale TAS 7021",-42.9140087,147.4863129,DL,Diesel,239.0,2022-11-23 14:00:11.020981,2022-11-23
20,Ampol,Ampol Hill Street Lauderdale,"528 South Arm Highway, Lauderdale TAS 7021",-42.9140087,147.4863129,U91,Unleaded 91,199.0,2022-11-23 14:00:11.020981,2022-11-23
22,Caltex,Caltex Eastlands,"1 Gordons Hill Road, Bellerive TAS 7018",-42.8660745,147.3729827,LPG,LPG,129.9,2022-11-23 14:00:11.020981,2022-11-23
22,Caltex,Caltex Eastlands,"1 Gordons Hill Road, Bellerive TAS 7018",-42.8660745,147.3729827,P95,Premium 95,209.9,2022-11-23 14:00:11.020981,2022-11-23
22,Caltex,Caltex Eastlands,"1 Gordons Hill Road, Bellerive TAS 7018",-42.8660745,147.3729827,P98,Premium 98,217.9,2022-11-23 14:00:11.020981,2022-11-23
22,Caltex,Caltex Eastlands,"1 Gordons Hill Road, Bellerive TAS 7018",-42.8660745,147.3729827,PDL,Premium Diesel,246.9,2022-11-23 14:00:11.020981,2022-11-23
22,Caltex,Caltex Eastlands,"1 Gordons Hill Road, Bellerive TAS 7018",-42.8660745,147.3729827,U91,Unleaded 91,195.9,2022-11-23 14:00:11.020981,2022-11-23
