stationcode,brand,name,address,lat,long,fueltype,fueltype_long,price,collection_datetime,collection_date
24,Coles Express,Coles Express Woy Woy,"50-52 Ocean Beach Rd (Cnr Rawson St), Woy Woy NSW 2256",-33.493905,151.320693,P98,Premium 98,210.9,2022-12-08 14:00:10.626013,2022-12-08
24,Coles Express,Coles Express Woy Woy,"50-52 Ocean Beach Rd (Cnr Rawson St), Woy Woy NSW 2256",-33.493905,151.320693,U91,Unleaded 91,187.9,2022-12-08 14:00:10.626013,2022-12-08
25,Coles Express,Coles Express Pennant Hills,"369-371 Pennant Hills Rd, Pennant Hills NSW 2120",-33.7387,151.073646,DL,Diesel,229.9,2022-12-08 14:00:10.626013,2022-12-08
25,Coles Express,Coles Express Pennant Hills,"369-371 Pennant Hills Rd, Pennant Hills NSW 2120",-33.7387,151.073646,E10,Ethanol 94,172.9,2022-12-08 14:00:10.626013,2022-12-08
25,Coles Express,Coles Express Pennant Hills,"369-371 Pennant Hills Rd, Pennant Hills NSW 2120",-33.7387,151.073646,P95,Premium 95,189.9,2022-12-08 14:00:10.626013,2022-12-08
25,Coles Express,Coles Express Pennant Hills,"369-371 Pennant Hills Rd, Pennant Hills NSW 2120",-33.7387,151.073646,P98,Premium 98,197.9,2022-12-08 14:00:10.626013,2022-12-08
25,Coles Express,Coles Express Pennant Hills,"369-371 Pennant Hills Rd, Pennant Hills NSW 2120",-33.7387,151.073646,PDL,Premium Diesel,238.9,2022-12-08 14:00:10.626013,2022-12-08
25,Coles Express,Coles Express Pennant Hills,"369-371 Pennant Hills Rd, Pennant Hills NSW 2120",-33.7387,151.073646,U91,Unleaded 91,174.9,2022-12-08 14:00:10.626013,2022-12-08
26,Coles Express,Coles Express Gilgandra,"Portion 101 Newell Highway (Cnr Tooraweenah Road), Gilgandra NSW 2827",-31.703093,148.678759,DL,Diesel,220.9,2022-12-08 14:00:10.626013,2022-12-08
26,Coles Express,Coles Express Gilgandra,"Portion 101 Newell Highway (Cnr Tooraweenah Road), Gilgandra NSW 2827",-31.703093,148.678759,P95,Premium 95,204.9,2022-12-08 14:00:10.626013,2022-12-08
26,Coles Express,Coles Express Gilgandra,"Portion 101 Newell Highway (Cnr Tooraweenah Road), Gilgandra NSW 2827",-31.703093,148.678759,P98,Premium 98,212.9,2022-12-08 14:00:10.626013,2022-12-08
26,Coles Express,Coles Express Gilgandra,"Portion 101 Newell Highway (Cnr Tooraweenah Road), Gilgandra NSW 2827",-31.703093,148.678759,U91,Unleaded 91,189.9,2022-12-08 14:00:10.626013,2022-12-08
27,Coles Express,Coles Express Erina,"211 The Entrance Rd (Cnr Bonnal Rd), Erina NSW 2250",-33.435578,151.385108,E10,Ethanol 94,189.9,2022-12-08 14:00:10.626013,2022-12-08
